gene,cpath,cost,x,y
1628,"[21, 30, 41, 44, 49]",1.183620636,-0.003384421,0.415054429
1628,"[21, 30, 41, 46, 49]",1.622032207,0.074048148,0.390990927
1628,"[21, 30, 41, 45, 49]",1.762078382,0.006332371,0.458263257
2487,"[3, 7, 36, 44, 52]",3.399778992,0.193304127,0.862568979
2487,"[3, 7, 36, 45, 52]",3.447042716,0.203020919,0.905777807
2487,"[3, 7, 36, 46, 52]",3.726657253,0.270736696,0.838505477
3009,"[4, 14, 20, 47, 51]",2.113662807,0.757107307,0.251701423
4640,"[9, 14, 29, 46, 48]",3.316256744,0.458941503,0.631769033
4640,"[9, 14, 29, 44, 48]",3.478078097,0.381508934,0.655832535
4640,"[9, 14, 29, 45, 48]",3.702944133,0.391225726,0.699041363
4640,"[8, 14, 29, 44, 48]",4.639400056,0.265017196,0.88409003
4640,"[8, 14, 29, 45, 48]",4.645995771,0.274733988,0.927298858
4640,"[8, 14, 29, 46, 48]",4.840401933,0.342449765,0.860026528
4756,"[6, 17, 34, 42, 50]",0.807294738,0.641590456,0.221186413
4756,"[6, 17, 34, 43, 50]",1.038757964,0.704209893,0.228119731
4756,"[6, 16, 34, 42, 50]",1.570832858,0.537797327,0.222509254
4756,"[6, 16, 34, 43, 50]",1.964553474,0.600416765,0.229442573
4988,"[6, 20, 32, 42, 49]",1.965293742,0.505106685,0.195442731
4988,"[6, 20, 32, 43, 49]",2.414882618,0.567726122,0.202376049
5105,"[9, 27, 28, 38, 53]",3.97816937,0.712319831,1.02607015
5105,"[8, 27, 28, 38, 53]",3.990171974,0.595828093,1.254327645
5289,"[9, 29, 33, 47, 53]",3.115290159,0.911954808,0.616164231
6612,"[17, 22, 35, 37, 43]",0.650744889,0.882603806,0.152226873
6612,"[17, 22, 35, 37, 42]",0.68540009,0.819984369,0.145293554
6612,"[16, 22, 35, 37, 42]",1.914349624,0.716191241,0.146616396
6612,"[16, 22, 35, 37, 43]",2.041951812,0.778810678,0.153549714
6805,"[15, 23, 36, 37, 47]",3.312060732,0.732463753,0.225606282
7684,"[4, 6, 17, 23, 47]",1.122440536,0.701037184,0.188124011
7684,"[4, 6, 16, 23, 47]",2.041326112,0.597244056,0.189446852
8350,"[3, 12, 15, 25, 51]",3.673073828,0.834043451,0.36093644
8350,"[2, 12, 15, 25, 51]",3.865803452,0.75777278,-0.021738029
8926,"[4, 13, 19, 25, 53]",4.826342141,0.711515749,0.340974216
9727,"[7, 12, 14, 32, 37]",4.310746439,0.315489516,0.151717622
9838,"[5, 10, 20, 26, 40]",0.755968973,0.809614355,0.772301175
9838,"[5, 10, 20, 26, 39]",1.686282169,0.693838171,0.629181188
11077,"[12, 17, 24, 33, 52]",2.394798184,0.709612875,0.371154867
11077,"[12, 16, 24, 33, 52]",3.329883183,0.605819746,0.372477708
12202,"[4, 11, 19, 23, 31]",4.35076253,0.324376797,0.101344061
12306,"[1, 13, 24, 32, 33]",1.007318827,0.757593627,0.118852374
12543,"[7, 14, 19, 29, 36]",3.504275645,-0.066611944,0.431129749
