block,pseudocolor,gene,x,y
1,3,12306,0.932240315,0.061366733
1,7,2487,0.564323714,1.190300495
1,7,8350,0.182970359,-0.72307185
1,15,12202,1.002506621,0.478877188
2,1,9838,0.763392829,1.157742545
2,6,4756,0.720070912,0.150530914
2,7,2487,-0.533110147,0.721791534
2,12,4640,0.399075813,1.731436653
2,12,5105,0.981534502,0.59014918
3,3,9838,0.862005179,0.594711593
3,6,12202,0.115673287,0.587540429
3,13,8350,0.64360338,0.167954274
4,4,12306,0.83126563,0.210314773
4,5,4640,0.167389438,-0.13710661
4,11,8350,1.457175255,0.28667076
4,12,4756,0.552776913,0.050162613
4,12,6612,0.033811272,0.05677682
4,13,0,0.674459281,0.06797493
5,5,12202,-0.246839026,0.05197021
5,6,9838,0.770116824,0.61710758
5,11,1628,-0.295214641,0.249590228
5,16,6612,0.785534133,0.133269689
6,1,12202,0.31923937,-0.000713281
6,7,12306,0.607433754,0.187617014
6,8,8350,0.570183361,0.121890332
6,12,9838,0.807333275,0.534905175
6,15,5105,0.410636547,1.321796819
7,3,5105,0.682546946,0.874017965
7,6,4640,0.22695486,1.09837932
7,7,1628,0.180150132,0.109289433
7,10,12202,0.431303733,-0.610954242
7,16,12306,0.376798029,-0.153748108
8,2,12306,1.040230409,0.288711456
8,9,4756,0.709067117,0.69414516
8,14,6612,1.156228135,0.34229428
8,15,2487,0.052545155,0.42061429
9,3,6612,0.922766881,0.15969702
9,13,5105,0.086418997,1.502568207
9,15,0,0.266342748,0.241439048
9,15,9838,0.845223665,0.957038984
9,16,1628,-0.056531469,0.575303788
10,1,4756,0.682615783,0.04104417
10,1,6612,0.995712969,0.075710762
10,6,1628,0.56590484,0.698492088
10,6,2487,0.178741995,0.818809597
10,6,4640,0.227325954,1.034853737
10,13,0,0.910592107,0.261762619
11,10,4640,0.352923874,0.908931188
12,1,1628,-0.024068121,0.3222791
12,3,4756,0.543421553,0.170049208
12,7,8350,0.934931544,0.03786634
12,9,2487,0.704019917,1.161328978
12,16,5105,1.40046216,0.841818579
